分隊,網格編號,車程時間
龍山,101,14.0
萬芳,101,32.0
景美,101,25.0
木柵,101,31.0
寶橋,101,27.0
金華,101,23.0
安和,101,26.0
復興,101,24.0
南港,101,29.0
舊莊,101,27.0
成德,101,25.0
信義,101,22.0
永吉,101,20.0
莊敬,101,27.0
大直,101,26.0
松江,101,17.0
建國,101,22.0
圓山,101,20.0
八德,101,18.0
中崙,101,20.0
東湖,101,27.0
大湖,101,34.0
內湖,101,26.0
民權,101,21.0
建成,101,17.0
延平,101,13.0
大同,101,15.0
山仔后,101,33.0
天母,101,35.0
福安,101,20.0
社子,101,18.0
劍潭,101,25.0
雙溪,101,29.0
後港,101,21.0
陽明山,101,39.0
光明,101,29.0
關渡,101,23.0
石牌,101,29.0
秀山,101,27.0
華山,103,12.0
忠孝,103,14.0
泉州,103,15.0
古亭,103,23.0
城中,103,11.0
雙園,103,11.0
龍山,103,12.0
萬芳,103,28.0
景美,103,24.0
木柵,103,30.0
寶橋,103,27.0
金華,103,18.0
安和,103,22.0
復興,103,20.0
南港,103,24.0
舊莊,103,23.0
成德,103,21.0
信義,103,18.0
永吉,103,16.0
莊敬,103,23.0
大直,103,20.0
松江,103,13.0
建國,103,14.0
圓山,103,14.0
八德,103,13.0
中崙,103,15.0
東湖,103,20.0
大湖,103,26.0
內湖,103,18.0
民權,103,17.0
建成,103,12.0
延平,103,9.0
大同,103,12.0
山仔后,103,35.0
天母,103,29.0
福安,103,15.0
社子,103,13.0
劍潭,103,20.0
雙溪,103,24.0
後港,103,15.0
陽明山,103,40.0
光明,103,25.0
關渡,103,23.0
石牌,103,22.0
秀山,103,26.0
華山,104,19.0
忠孝,104,21.0
泉州,104,23.0
古亭,104,23.0
城中,104,18.0
雙園,104,16.0
龍山,104,20.0
萬芳,104,29.0
景美,104,28.0
木柵,104,32.0
寶橋,104,32.0
金華,104,23.0
安和,104,25.0
復興,104,22.0
南港,104,25.0
舊莊,104,27.0
成德,104,26.0
信義,104,25.0
永吉,104,23.0
莊敬,104,26.0
大直,104,20.0
松江,104,20.0
建國,104,16.0
圓山,104,16.0
八德,104,21.0
中崙,104,20.0
東湖,104,21.0
大湖,104,28.0
內湖,104,19.0
民權,104,18.0
建成,104,20.0
延平,104,16.0
大同,104,17.0
山仔后,104,29.0
天母,104,30.0
福安,104,15.0
社子,104,13.0
劍潭,104,22.0
雙溪,104,25.0
後港,104,17.0
陽明山,104,29.0
光明,104,24.0
關渡,104,21.0
石牌,104,24.0
秀山,104,17.0
華山,108,21.0
忠孝,108,22.0
泉州,108,24.0
古亭,108,24.0
城中,108,22.0
雙園,108,23.0
龍山,108,21.0
萬芳,108,30.0
景美,108,29.0
木柵,108,33.0
寶橋,108,34.0
金華,108,24.0
安和,108,26.0
復興,108,23.0
南港,108,26.0
舊莊,108,28.0
成德,108,27.0
信義,108,28.0
永吉,108,26.0
莊敬,108,31.0
大直,108,22.0
松江,108,21.0
建國,108,17.0
圓山,108,16.0
八德,108,24.0
中崙,108,20.0
東湖,108,22.0
大湖,108,29.0
內湖,108,20.0
民權,108,27.0
建成,108,18.0
延平,108,17.0
